E,L = 100km
0.001,0.9339835766524425
0.00150012509382,0.9866985915571235
0.00200025018764,0.9276981864376738
0.00250037528146,0.9461140247538762
0.00300050037528,0.9106066476673994
0.0035006254691,0.9929779382805777
0.00400075056292,0.9317618416335365
0.00450087565674,0.9983619895920348
0.00500100075056,0.9835464050271066
0.00550112584438,0.9988956077016312
0.0060012509382,0.9627553348652729
0.00650137603202,0.9136133446397046
0.00700150112584,0.9982301858385061
0.00750162621966,0.9119931605268528
0.00800175131349,0.9775422298861769
0.00850187640731,0.9681321536976321
0.00900200150113,0.9074172471228888
0.00950212659495,0.9705349471201954
0.0100022516888,0.9956713673696195
0.0105023767826,0.9380179204792829
0.0110025018764,0.9072801774715797
0.0115026269702,0.9426097066758446
0.012002752064,0.9895201575843781
0.0125028771579,0.9972119039791613
0.0130030022517,0.9658794591329953
0.0135031273455,0.9267403294007447
0.0140032524393,0.9074420462057977
0.0145033775331,0.915792689825896
0.015003502627,0.9427410275177462
0.0155036277208,0.973001590294118
0.0160037528146,0.9940051477510217
0.0165038779084,0.9998749225134576
0.0170040030023,0.9911931318542774
0.0175041280961,0.9726514329453558
0.0180042531899,0.9503742613116469
0.0185043782837,0.9298943719378037
0.0190045033775,0.9150601851474867
0.0195046284714,0.9077475081500367
0.0200047535652,0.908096996482325
0.020504878659,0.9150031463432945
0.0210050037528,0.926652124803182
0.0215051288466,0.9409886210360087
0.0220052539405,0.9560597123728309
0.0225053790343,0.9702289963996854
0.0230055041281,0.9822790483617787
0.0235056292219,0.9914301481160688
0.0240057543157,0.997303853735262
0.0245058794096,0.9998558584487507
0.0250060045034,0.9992966734706125
0.0255061295972,0.9960128004476542
0.026006254691,0.9904960605772689
0.0265063797848,0.9832849261534486
0.0270065048787,0.97491902664234
0.0275066299725,0.9659062974031808
0.0280067550663,0.9567012804141686
0.0285068801601,0.9476926577792393
0.0290070052539,0.939198019743662
0.0295071303478,0.9314640002094182
0.0300072554416,0.9246701541027906
0.0305073805354,0.9189352347681312
0.0310075056292,0.9143248133465597
0.031507630723,0.9108594415971321
0.0320077558169,0.9085227831070385
0.0325078809107,0.9072693217002374
0.0330080060045,0.9070314013559682
0.0335081310983,0.9077254629952134
0.0340082561921,0.9092574251474057
0.034508381286,0.9115272130664869
0.0350085063798,0.91443247931662
0.0355086314736,0.9178715826092824
0.0360087565674,0.9217459044803838
0.0365088816612,0.9259615883001131
0.0370090067551,0.9304307845306949
0.0375091318489,0.9350724819590905
0.0380092569427,0.9398129982418126
0.0385093820365,0.9445861955402388
0.0390095071303,0.9493334790314139
0.0395096322242,0.9540036281542753
0.040009757318,0.9585525029219965
0.0405098824118,0.9629426606950984
0.0410100075056,0.9671429125704119
0.0415101325994,0.9711278430349949
0.0420102576933,0.9748773117540009
0.0425103827871,0.9783759522706263
0.0430105078809,0.9816126789407499
0.0435106329747,0.9845802105419607
0.0440107580686,0.987274616620511
0.0445108831624,0.9896948907053339
0.0450110082562,0.9918425529639836
0.04551113335,0.9937212836443314
0.0460112584438,0.9953365876868271
0.0465113835377,0.9966954901596171
0.0470115086315,0.9978062616230767
0.0475116337253,0.9986781721370058
0.0480117588191,0.9993212723535545
0.0485118839129,0.9997461999670288
0.0490120090068,0.9999640096972824
0.0495121341006,0.9999860249490937
0.0500122591944,0.9998237093014858
0.0505123842882,0.9994885560266871
0.051012509382,0.998991993908886
0.0515126344759,0.998345307720504
0.0520127595697,0.997559571812351
0.0525128846635,0.9966455953789911
0.0530130097573,0.9956138780682546
0.0535131348511,0.9944745747112879
0.054013259945,0.9932374680547311
0.0545133850388,0.9919119484780622
0.0550135101326,0.9905069997757532
0.0555136352264,0.989031190174993
0.0560137603202,0.9874926678449036
0.0565138854141,0.9858991602322434
0.0570140105079,0.9842579766315169
0.0575141356017,0.9825760134643221
0.0580142606955,0.9808597618038379
0.0585143857893,0.9791153167358627
0.0590145108832,0.9773483881980608
0.059514635977,0.9755643129843827
0.0600147610708,0.9737680676423462
0.0605148861646,0.9719642820273345
0.0610150112584,0.9701572533106385
0.0615151363523,0.9683509602669573
0.0620152614461,0.9665490776928067
0.0625153865399,0.964754990830051
0.0630155116337,0.9629718096888716
0.0635156367275,0.9612023831821603
0.0640157618214,0.9594493129988261
0.0645158869152,0.9577149671570652
0.065016012009,0.95600149319045
0.0655161371028,0.9543108309299538
0.0660162621966,0.9526447248538981
0.0665163872905,0.9510047359854549
0.0670165123843,0.9493922533238932
0.0675166374781,0.9478085048013466
0.0680167625719,0.9462545677616344
0.0685168876657,0.9447313789616563
0.0690170127596,0.943239744099237
0.0695171378534,0.9417803468740621
0.0700172629472,0.9403537575906221
0.070517388041,0.9389604413139201
0.0710175131349,0.9376007655901566
0.0715176382287,0.9362750077457415
0.0720177633225,0.9349833617788339
0.0725178884163,0.9337259448582237
0.0730180135101,0.9325028034447734
0.073518138604,0.9313139190508687
0.0740182636978,0.930159213653407
0.0745183887916,0.9290385547758148
0.0750185138854,0.9279517602544322
0.0755186389792,0.9268986027043764
0.0760187640731,0.9258788136996929
0.0765188891669,0.9248920876822428
0.0770190142607,0.9239380856133788
0.0775191393545,0.9230164383820174
0.0780192644483,0.9221267499822643
0.0785193895422,0.9212686004732588
0.079019514636,0.9204415487334223
0.0795196397298,0.9196451350207921
0.0800197648236,0.9188788833506261
0.0805198899174,0.9181423037009668
0.0810200150113,0.9174348940563634
0.0815201401051,0.9167561422994639
0.0820202651989,0.9161055279597223
0.0825203902927,0.915482523827998
0.0830205153865,0.9148865974453841
0.0835206404804,0.9143172124741604
