L,E = 0.01GeV,E = 0.02GeV,E = 0.05GeV
0.001,0.9999999977674044,0.9999999994418511,0.9999999999106962
0.301299299299,0.9997974693382767,0.9999493397382022,0.9999918931214502
0.601598598599,0.999194314510982,0.9997981404851246,0.9999676828269869
0.901897897898,0.9981957525717887,0.9995467289532501,0.9999273774130822
1.2021971972,0.9968104243876551,0.9991956493225884,0.9998709908404162
1.5024964965,0.9950503176341198,0.998745661504649,0.9997985426397373
1.8027957958,0.9929306630622182,0.9981977394976141,0.9997100579050975
2.1030950951,0.9904698027020576,0.99755306927812,0.99960556728516
2.40339439439,0.9876890311435278,0.9968130462342124,0.9994851069725842
2.70369369369,0.9846124112675926,0.9959792721450301,0.9993487186914888
3.00399299299,0.9812665660226991,0.9950535517137555,0.9991964496830001
3.30429229229,0.9776804480481265,0.9940378886613368,0.9990283526888891
3.60459159159,0.9738850891377955,0.9929344813894356,0.9988444859333027
3.90489089089,0.9699133317125063,0.9917457182219889,0.998644913102597
4.20519019019,0.9657995446242594,0.9904741722356841,0.9984297033232777
4.50548948949,0.9615793257518926,0.9891225956905375,0.9981989311380571
4.80578878879,0.957289193961566,0.9876939140726301,0.9979526764800339
5.10608808809,0.9529662730976576,0.9861912197618954,0.9976910246450071
5.40638738739,0.948647970738595,0.9846177653386669,0.997414066261932
5.70668668669,0.9443716544974473,0.9829769565434705,0.9971218972615278
6.00698598599,0.9401743286683499,0.9812723449053035,0.9968146188430514
6.30728528529,0.9360923140168409,0.9795076200543523,0.9964923374392437
6.60758458458,0.9321609334849832,0.9776866017357929,0.9961551646794646
6.90788388388,0.9284142065309636,0.9758132315419552,0.9958032173510274
7.20818318318,0.9248845547481426,0.9738915643807511,0.9954366173587476
7.50848248248,0.9216025213109256,0.9719257596988298,0.9950554916827173
7.80878178178,0.918596506675178,0.9699200724784603,0.9946599723343241
8.10908108108,0.9158925228202492,0.967878844027626,0.9942501963105252
8.40938038038,0.9135139681592273,0.9658064925832681,0.9938263055463956
8.70967967968,0.9114814250651944,0.9637075037480164,0.9933884468659656
9.00997897898,0.9098124817655531,0.9615864207811063,0.9929367719313655
9.31027827828,0.9085215801456252,0.9594478347644994,0.9924714371902934
9.61057757758,0.9076198907785281,0.9572963746654906,0.9919926038218266
9.91087687688,0.9071152162627313,0.9551366973173135,0.9915004376805934
10.2111761762,0.907011923703746,0.9529734773394293,0.9909951092393252
10.5114754755,0.9073109069242037,0.9508113970193175,0.9904767935298106
10.8117747748,0.9080095787293301,0.9486551361776696,0.9899456700822677
11.1120740741,0.9091018932947469,0.946509362038922,0.9894019228631614
11.4123733734,0.9105783984828693,0.9443787191290526,0.9888457402114814
11.7126726727,0.9124263176351921,0.94226781922251,0.9882773147735069
12.012971972,0.9146296601326882,0.9401812313600317,0.9876968434360799
12.3132712713,0.9171693597676079,0.9381234719589602,0.9871045272584084
12.6135705706,0.9200234397293023,0.9360989950374617,0.9865005714024251
12.9138698699,0.9231672027764001,0.9341121825738093,0.9858851850617257
13.2141691692,0.9265734449497159,0.9321673350215943,0.9852585813891089
13.5144684685,0.9302126909765692,0.9302686620013992,0.9846209774227472
13.8147677678,0.9340534493294828,0.928420273189078,0.9839725940110102
14.1150670671,0.9380624847321629,0.9266261694203676,0.9833136557359693
14.4153663664,0.9422051057546793,0.9248902340310814,0.9826443908356081
14.7156656657,0.9464454650091955,0.9232162244516343,0.9819650311247676
15.015964965,0.9507468693485619,0.9216077640740875,0.9812758119148521
15.3162642643,0.9550720973835284,0.9200683344093203,0.9805769719323233
15.6165635636,0.9593837215709987,0.9186012675513032,0.9798687532360122
15.9168628629,0.9636444320861994,0.9172097389647837,0.9791514011332768
16.2171621622,0.9678173596761943,0.9158967606119962,0.9784251640950344
16.5174614615,0.9718663947009945,0.9146651744332729,0.9776902936696982
16.8177607608,0.9757564996015017,0.9135176461956663,0.9769470443960474
17.1180600601,0.9794540120904022,0.9124566597228996,0.9761956737150627
17.4183593594,0.9829269364424047,0.9114845115191325,0.9754364418807554
17.7186586587,0.986145220363202,0.9106033057981802,0.974669611870023
18.018957958,0.9890810150413168,0.9098149499289446,0.9738954492915608
18.3192572573,0.9917089161325278,0.9091211503069168,0.9731142222938628
18.6195565566,0.994006183591559,0.9085234086606849,0.9723262014723423
18.9198558559,0.9959529384487628,0.9080230188014449,0.9715316597756051
19.2201551552,0.9975323348290254,0.9076210638225466,0.9707308724109077
19.5204544545,0.9987307057243625,0.9073184137551401,0.9699241167488334
19.8207537538,0.9995376812587888,0.9071157236849938,0.9691116722272182
20.1210530531,0.9999462784220796,0.907013432334562,0.9682938202543618
20.4213523524,0.9999529614959297,0.9070117611133701,0.9674708441115556
20.7216516517,0.9995576726496228,0.907110713638775,0.9666430288549611
21.021950951,0.9987638324404594,0.9073100757281344,0.9658106612168754
21.3222502503,0.9975783102146102,0.907609415862405,0.9649740295064145
21.6225495495,0.9960113646645281,0.9080080861201655,0.9641334235096508
21.9228488488,0.9940765550572926,0.9085052235800415,0.9632891343892397
22.2231481481,0.9917906239020549,0.9090997521884981,0.9624414545835688
22.5234474474,0.9891733520719012,0.9097903850889567,0.961590677705465
22.8237467467,0.986247387633806,0.9105756274071946,0.9607370984404956
23.124046046,0.9830380498678676,0.9114537794869988,0.959881012444897
23.4243453453,0.979573110171703,0.9124229405690707,0.9590227162431679
23.7246446446,0.9758825517459101,0.913481012905217,0.958162507125361
24.0249439439,0.9719983101401094,0.9146257062989236,0.9573006830441105
24.3252432432,0.9679539969047027,0.9158545430624845,0.956437542511429
