E,L = 180km,L = 200km,L = 300km
0.001,0.9605088217978446,0.9233823991518748,0.9982976211266874
0.003001001001,0.9129632286460443,0.9849723171490056,0.9384424967374517
0.005002002002,0.9528309479720881,0.9446943002160845,0.912683888650885
0.007003003003,0.9328000297041851,0.9935123887366412,0.9858343087843916
0.009004004004,0.9830050263829039,0.9981446258916605,0.9111397268872365
0.011005005005,0.9959758270824283,0.9987491276787503,0.9097986398976803
0.013006006006,0.9747723189650453,0.9133311590337816,0.9204060631803165
0.015007007007,0.9935999590584256,0.911778735375537,0.9829554954759591
0.017008008008,0.9623434800193775,0.9677290602411194,0.9389206358216028
0.019009009009,0.9311255139776224,0.9708873955703268,0.9632182195275347
0.02101001001,0.9606809483198093,0.9376946687185632,0.998374572329967
0.023011011011,0.9826639232648033,0.9429146470506223,0.9114471887481291
0.025012012012,0.9092093509396025,0.9971127231094052,0.9935882810132138
0.027013013013,0.9429731982789883,0.9265224309544202,0.9074745939700098
0.029014014014,0.9967671572232961,0.9159386819858766,0.9912059320884257
0.031015015015,0.9836534666053666,0.9732124378662357,0.9594698358149857
0.033016016016,0.9360617773974873,0.9998584001220808,0.9073183975312256
0.035017017017,0.9081307125690561,0.9724635698957914,0.960692570214052
0.037018018018,0.9162041494817494,0.9297267279253048,0.9999911001856054
0.039019019019,0.9461828132786835,0.9077148617058902,0.9656051377864321
0.04102002002,0.9773801523563871,0.91510203423811,0.9171081353217191
0.043021021021,0.9963472051311858,0.9411501571776499,0.91035475342324
0.045022022022,0.9992715866553079,0.9703783578640479,0.9429801296323617
0.047023023023,0.9889319111888478,0.991518661930681,0.9816582705228708
0.049024024024,0.9708425159702665,0.9998672005784458,0.9997013791398743
0.051025025025,0.9505261661754592,0.9959553410196053,0.9910661388139616
0.053026026026,0.9321712071087626,0.9831803551381533,0.965139785491651
0.055027027027,0.9182898227339976,0.9657799376447589,0.9360573615815856
0.057028028028,0.9099171920183652,0.9475672067624508,0.9149519039613095
0.059029029029,0.9070139994759345,0.9313564904508527,0.9070388839641461
0.06103003003,0.9088793601919442,0.9188562993499645,0.9121577212825134
0.063031031031,0.9144882451932291,0.9108139309471447,0.9267946677072154
0.065032032032,0.922730949062089,0.9072575347812635,0.9461861813903283
0.067033033033,0.9325631728745419,0.9077445158113877,0.9658483545782949
0.069034034034,0.9430866169165157,0.9115722819404751,0.9824037487822417
0.071035035035,0.9535810798770634,0.9179369081735321,0.9938375777313484
0.073036036036,0.9635058151531967,0.9260412161935997,0.9993901056988181
0.075037037037,0.9724834664581931,0.9351607636345898,0.9992711349363044
0.077038038038,0.9802757657425151,0.944678092491199,0.9943279680389107
0.079039039039,0.9867568587800642,0.9540948668350349,0.9857434813903406
0.08104004004,0.9918876977082415,0.9630297812499093,0.9747989905323067
0.083041041041,0.9956932831765096,0.9712081774761844,0.962709505386494
0.085042042042,0.9982434753105085,0.9784475596476875,0.9505241758467979
0.087043043043,0.9996374545307383,0.9846417892596874,0.939078455698064
0.089044044044,0.9999915633669871,0.9897456820138598,0.9289833985228746
0.091045045045,0.9994300962077843,0.9937609755309843,0.9206390621118046
0.093046046046,0.9980785530006894,0.9967241273017149,0.9142616301618186
0.095047047047,0.99605888647395,0.9986960750224572,0.9099166354279206
0.097048048048,0.9934863189683946,0.9997538945386443,0.9075531263470755
0.099049049049,0.9904673649918242,0.9999841829814933,0.9070355857695838
0.10105005005,0.9870987577640995,0.9994779457369035,0.90817187109801
0.103051051051,0.9834670361685773,0.9983267537146321,0.9107364613003996
0.105052052052,0.9796485997836468,0.9966199468486396,0.9144889564603036
0.107053053053,0.9757100830987767,0.9944426807423766,0.9191881690141428
0.109054054054,0.9717089357740913,0.9918746393686229,0.9246023504122106
0.111055055055,0.9676941245861304,0.9889892637418337,0.9305161749046413
0.113056056056,0.9637068954499439,0.9858533721941208,0.93673510042916
0.115057057057,0.9597815515968506,0.982527071105608,0.9430876788180556
0.117058058058,0.9559462175387996,0.9790638751696078,0.9494263167892286
0.119059059059,0.9522235686810159,0.975510973441274,0.9556269104554556
0.12106006006,0.9486315140512632,0.9719095916942906,0.9615876985857861
0.123061061061,0.9451838251750705,0.9682954132847424,0.9672276087564528
0.125062062062,0.941890708112067,0.9646990301332554,0.9724843083161343
0.127063063063,0.9387593184555759,0.9611464029277732,0.9773121195264864
0.129064064064,0.935794220983069,0.9576593155406355,0.9816799150590554
0.131065065065,0.9329977968609697,0.95425581323213,0.9855690754064903
0.133066066066,0.9303706020328577,0.9509506177276705,0.9889715626135009
0.135067067067,0.9279116807924898,0.9477555149187097,0.9918881438976246
0.137068068068,0.9256188386661531,0.9446797129247307,0.994326783102121
0.139069069069,0.9234888786806785,0.9417301697101315,0.9963012064976638
0.14107007007,0.9215178049318978,0.938911890493296,0.997829641350373
0.143071071071,0.91970099713592,0.9362281959104352,0.9989337201608799
0.145072072072,0.9180333595730865,0.9336809623794152,0.9996375399410874
0.147073073073,0.9165094475437187,0.9312708364085989,0.9999668638366243
0.149074074074,0.9151235741610241,0.9289974247595939,0.9999484514290082
0.151075075075,0.9138699000200456,0.9268594624373068,0.9996095038526029
0.153076076076,0.912742508008968,0.9248549604740656,0.998977210198334
0.155077077077,0.9117354652744343,0.9229813354184512,0.9980783823667239
0.157078078078,0.9108428741178766,0.9212355223502894,0.9969391664407676
0.159079079079,0.9100589133859893,0.9196140731333459,0.9955848196742472
0.16108008008,0.9093778717252557,0.9181132414957829,0.9940395432611535
0.163081081081,0.9087941738971089,0.916729056402067,0.9923263621164825
